"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.976667","1.000000"
"jittering_0.05","jittering","0.05","0.946667","0.986667"
"jittering_0.1","jittering","0.1","0.910000","0.963333"
"jittering_0.2","jittering","0.2","0.726667","0.886667"
"jittering_0.4","jittering","0.4","0.560000","0.603333"
"missing_0","missing","0","0.976667","1.000000"
"missing_0.05","missing","0.05","0.940000","0.990000"
"missing_0.1","missing","0.1","0.890000","0.976667"
"missing_0.2","missing","0.2","0.840000","0.956667"
"missing_0.4","missing","0.4","0.680000","0.860000"
"outlier_0","outlier","0","0.976667","1.000000"
"outlier_0.05","outlier","0.05","0.946667","0.990000"
"outlier_0.1","outlier","0.1","0.880000","0.976667"
"outlier_0.2","outlier","0.2","0.703333","0.983333"
"outlier_0.4","outlier","0.4","0.650000","0.920000"
