"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.916667","0.860000"
"jittering_0.05","jittering","0.05","0.923333","0.850000"
"jittering_0.1","jittering","0.1","0.873333","0.820000"
"jittering_0.2","jittering","0.2","0.693333","0.766667"
"jittering_0.4","jittering","0.4","0.500000","0.586667"
"missing_0","missing","0","0.916667","0.860000"
"missing_0.05","missing","0.05","0.883333","0.790000"
"missing_0.1","missing","0.1","0.790000","0.743333"
"missing_0.2","missing","0.2","0.703333","0.696667"
"missing_0.4","missing","0.4","0.526667","0.623333"
"outlier_0","outlier","0","0.916667","0.860000"
"outlier_0.05","outlier","0.05","0.780000","0.716667"
"outlier_0.1","outlier","0.1","0.620000","0.690000"
"outlier_0.2","outlier","0.2","0.456667","0.600000"
"outlier_0.4","outlier","0.4","0.476667","0.466667"
