Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.863333,0.903333
jittering_0.05,jittering,0.05,0.870000,0.873333
jittering_0.1,jittering,0.1,0.816667,0.850000
jittering_0.2,jittering,0.2,0.596667,0.743333
jittering_0.4,jittering,0.4,0.513333,0.576667
missing_0,missing,0,0.863333,0.903333
missing_0.05,missing,0.05,0.823333,0.876667
missing_0.1,missing,0.1,0.753333,0.883333
missing_0.2,missing,0.2,0.750000,0.840000
missing_0.4,missing,0.4,0.726667,0.776667
outlier_0,outlier,0,0.863333,0.903333
outlier_0.05,outlier,0.05,0.720000,0.793333
outlier_0.1,outlier,0.1,0.620000,0.753333
outlier_0.2,outlier,0.2,0.453333,0.653333
outlier_0.4,outlier,0.4,0.453333,0.470000
scaling_0,scaling,0,0.863333,0.903333
scaling_0.05,scaling,0.05,0.870000,0.873333
scaling_0.1,scaling,0.1,0.816667,0.850000
scaling_0.2,scaling,0.2,0.596667,0.743333
scaling_0.4,scaling,0.4,0.513333,0.576667
trend_0,trend,0,0.863333,0.903333
trend_0.05,trend,0.05,0.870000,0.873333
trend_0.1,trend,0.1,0.816667,0.850000
trend_0.2,trend,0.2,0.596667,0.743333
trend_0.4,trend,0.4,0.513333,0.576667
