Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.883333,0.910000
jittering_0.05,jittering,0.05,0.883333,0.896667
jittering_0.1,jittering,0.1,0.826667,0.856667
jittering_0.2,jittering,0.2,0.623333,0.770000
jittering_0.4,jittering,0.4,0.513333,0.570000
missing_0,missing,0,0.883333,0.910000
missing_0.05,missing,0.05,0.836667,0.893333
missing_0.1,missing,0.1,0.766667,0.863333
missing_0.2,missing,0.2,0.760000,0.863333
missing_0.4,missing,0.4,0.706667,0.743333
outlier_0,outlier,0,0.883333,0.910000
outlier_0.05,outlier,0.05,0.753333,0.803333
outlier_0.1,outlier,0.1,0.616667,0.736667
outlier_0.2,outlier,0.2,0.453333,0.673333
outlier_0.4,outlier,0.4,0.453333,0.493333
scaling_0,scaling,0,0.883333,0.910000
scaling_0.05,scaling,0.05,0.883333,0.896667
scaling_0.1,scaling,0.1,0.826667,0.856667
scaling_0.2,scaling,0.2,0.623333,0.770000
scaling_0.4,scaling,0.4,0.513333,0.570000
trend_0,trend,0,0.883333,0.910000
trend_0.05,trend,0.05,0.883333,0.896667
trend_0.1,trend,0.1,0.826667,0.856667
trend_0.2,trend,0.2,0.623333,0.770000
trend_0.4,trend,0.4,0.513333,0.570000
