Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.806667,0.890000
jittering_0.05,jittering,0.05,0.760000,0.856667
jittering_0.1,jittering,0.1,0.650000,0.746667
jittering_0.2,jittering,0.2,0.486667,0.563333
jittering_0.4,jittering,0.4,0.410000,0.446667
missing_0,missing,0,0.806667,0.890000
missing_0.05,missing,0.05,0.730000,0.783333
missing_0.1,missing,0.1,0.666667,0.676667
missing_0.2,missing,0.2,0.613333,0.690000
missing_0.4,missing,0.4,0.550000,0.640000
outlier_0,outlier,0,0.806667,0.890000
outlier_0.05,outlier,0.05,0.636667,0.510000
outlier_0.1,outlier,0.1,0.543333,0.446667
outlier_0.2,outlier,0.2,0.373333,0.383333
outlier_0.4,outlier,0.4,0.406667,0.416667
scaling_0,scaling,0,0.806667,0.890000
scaling_0.05,scaling,0.05,0.760000,0.856667
scaling_0.1,scaling,0.1,0.650000,0.746667
scaling_0.2,scaling,0.2,0.486667,0.563333
scaling_0.4,scaling,0.4,0.410000,0.446667
trend_0,trend,0,0.806667,0.890000
trend_0.05,trend,0.05,0.760000,0.856667
trend_0.1,trend,0.1,0.650000,0.746667
trend_0.2,trend,0.2,0.486667,0.563333
trend_0.4,trend,0.4,0.410000,0.446667
