Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.806667,0.896667
jittering_0.05,jittering,0.05,0.770000,0.873333
jittering_0.1,jittering,0.1,0.653333,0.760000
jittering_0.2,jittering,0.2,0.473333,0.586667
jittering_0.4,jittering,0.4,0.410000,0.426667
missing_0,missing,0,0.806667,0.896667
missing_0.05,missing,0.05,0.700000,0.790000
missing_0.1,missing,0.1,0.650000,0.716667
missing_0.2,missing,0.2,0.603333,0.693333
missing_0.4,missing,0.4,0.620000,0.623333
outlier_0,outlier,0,0.806667,0.896667
outlier_0.05,outlier,0.05,0.646667,0.510000
outlier_0.1,outlier,0.1,0.560000,0.450000
outlier_0.2,outlier,0.2,0.373333,0.390000
outlier_0.4,outlier,0.4,0.410000,0.410000
scaling_0,scaling,0,0.806667,0.896667
scaling_0.05,scaling,0.05,0.770000,0.873333
scaling_0.1,scaling,0.1,0.653333,0.760000
scaling_0.2,scaling,0.2,0.473333,0.586667
scaling_0.4,scaling,0.4,0.410000,0.426667
trend_0,trend,0,0.806667,0.896667
trend_0.05,trend,0.05,0.770000,0.873333
trend_0.1,trend,0.1,0.653333,0.760000
trend_0.2,trend,0.2,0.473333,0.586667
trend_0.4,trend,0.4,0.410000,0.426667
