"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.903333","0.926667"
"jittering_0.05","jittering","0.05","0.896667","0.920000"
"jittering_0.1","jittering","0.1","0.833333","0.886667"
"jittering_0.2","jittering","0.2","0.653333","0.760000"
"jittering_0.4","jittering","0.4","0.523333","0.543333"
"missing_0","missing","0","0.903333","0.926667"
"missing_0.05","missing","0.05","0.850000","0.853333"
"missing_0.1","missing","0.1","0.766667","0.850000"
"missing_0.2","missing","0.2","0.693333","0.766667"
"missing_0.4","missing","0.4","0.613333","0.613333"
"outlier_0","outlier","0","0.903333","0.926667"
"outlier_0.05","outlier","0.05","0.750000","0.766667"
"outlier_0.1","outlier","0.1","0.626667","0.643333"
"outlier_0.2","outlier","0.2","0.453333","0.556667"
"outlier_0.4","outlier","0.4","0.426667","0.410000"
