Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.916667,0.900000
jittering_0.05,jittering,0.05,0.923333,0.873333
jittering_0.1,jittering,0.1,0.873333,0.856667
jittering_0.2,jittering,0.2,0.693333,0.776667
jittering_0.4,jittering,0.4,0.500000,0.630000
missing_0,missing,0,0.916667,0.900000
missing_0.05,missing,0.05,0.886667,0.833333
missing_0.1,missing,0.1,0.740000,0.760000
missing_0.2,missing,0.2,0.643333,0.743333
missing_0.4,missing,0.4,0.466667,0.623333
outlier_0,outlier,0,0.916667,0.900000
outlier_0.05,outlier,0.05,0.780000,0.736667
outlier_0.1,outlier,0.1,0.613333,0.716667
outlier_0.2,outlier,0.2,0.453333,0.553333
outlier_0.4,outlier,0.4,0.473333,0.513333
scaling_0,scaling,0,0.916667,0.900000
scaling_0.05,scaling,0.05,0.923333,0.873333
scaling_0.1,scaling,0.1,0.873333,0.856667
scaling_0.2,scaling,0.2,0.693333,0.776667
scaling_0.4,scaling,0.4,0.500000,0.630000
trend_0,trend,0,0.916667,0.900000
trend_0.05,trend,0.05,0.923333,0.873333
trend_0.1,trend,0.1,0.873333,0.856667
trend_0.2,trend,0.2,0.693333,0.776667
trend_0.4,trend,0.4,0.500000,0.630000
