Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.976667,1.000000
jittering_0.05,jittering,0.05,0.960000,0.980000
jittering_0.1,jittering,0.1,0.910000,0.966667
jittering_0.2,jittering,0.2,0.700000,0.866667
jittering_0.4,jittering,0.4,0.546667,0.643333
missing_0,missing,0,0.976667,1.000000
missing_0.05,missing,0.05,0.936667,0.993333
missing_0.1,missing,0.1,0.913333,0.980000
missing_0.2,missing,0.2,0.830000,0.960000
missing_0.4,missing,0.4,0.640000,0.900000
outlier_0,outlier,0,0.976667,1.000000
outlier_0.05,outlier,0.05,0.930000,0.996667
outlier_0.1,outlier,0.1,0.876667,0.983333
outlier_0.2,outlier,0.2,0.683333,0.963333
outlier_0.4,outlier,0.4,0.596667,0.923333
scaling_0,scaling,0,0.976667,1.000000
scaling_0.05,scaling,0.05,0.960000,0.980000
scaling_0.1,scaling,0.1,0.910000,0.966667
scaling_0.2,scaling,0.2,0.700000,0.866667
scaling_0.4,scaling,0.4,0.546667,0.643333
trend_0,trend,0,0.976667,1.000000
trend_0.05,trend,0.05,0.960000,0.980000
trend_0.1,trend,0.1,0.910000,0.966667
trend_0.2,trend,0.2,0.700000,0.866667
trend_0.4,trend,0.4,0.546667,0.643333
