"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.963333","0.946667"
"jittering_0.05","jittering","0.05","0.956667","0.951667"
"jittering_0.1","jittering","0.1","0.950000","0.953333"
"jittering_0.2","jittering","0.2","0.950000","0.960000"
"jittering_0.4","jittering","0.4","0.898333","0.951667"
"missing_0","missing","0","0.963333","0.946667"
"missing_0.05","missing","0.05","0.943333","0.955000"
"missing_0.1","missing","0.1","0.916667","0.938333"
"missing_0.2","missing","0.2","0.856667","0.936667"
"missing_0.4","missing","0.4","0.735000","0.888333"
"outlier_0","outlier","0","0.963333","0.946667"
"outlier_0.05","outlier","0.05","0.970000","0.961667"
"outlier_0.1","outlier","0.1","0.948333","0.956667"
"outlier_0.2","outlier","0.2","0.895000","0.951667"
"outlier_0.4","outlier","0.4","0.841667","0.950000"
