Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.898333,0.975000
jittering_0.05,jittering,0.05,0.886667,0.975000
jittering_0.1,jittering,0.1,0.876667,0.975000
jittering_0.2,jittering,0.2,0.848333,0.978333
jittering_0.4,jittering,0.4,0.801667,0.945000
missing_0,missing,0,0.898333,0.975000
missing_0.05,missing,0.05,0.873333,0.975000
missing_0.1,missing,0.1,0.856667,0.973333
missing_0.2,missing,0.2,0.808333,0.950000
missing_0.4,missing,0.4,0.590000,0.875000
outlier_0,outlier,0,0.898333,0.975000
outlier_0.05,outlier,0.05,0.918333,0.976667
outlier_0.1,outlier,0.1,0.920000,0.975000
outlier_0.2,outlier,0.2,0.885000,0.968333
outlier_0.4,outlier,0.4,0.815000,0.963333
scaling_0,scaling,0,0.898333,0.975000
scaling_0.05,scaling,0.05,0.886667,0.975000
scaling_0.1,scaling,0.1,0.876667,0.975000
scaling_0.2,scaling,0.2,0.848333,0.978333
scaling_0.4,scaling,0.4,0.801667,0.945000
trend_0,trend,0,0.898333,0.975000
trend_0.05,trend,0.05,0.886667,0.975000
trend_0.1,trend,0.1,0.876667,0.975000
trend_0.2,trend,0.2,0.848333,0.978333
trend_0.4,trend,0.4,0.801667,0.945000
