Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.981667,0.990000
jittering_0.05,jittering,0.05,0.983333,0.993333
jittering_0.1,jittering,0.1,0.963333,0.991667
jittering_0.2,jittering,0.2,0.960000,0.986667
jittering_0.4,jittering,0.4,0.915000,0.976667
missing_0,missing,0,0.981667,0.990000
missing_0.05,missing,0.05,0.968333,0.986667
missing_0.1,missing,0.1,0.941667,0.983333
missing_0.2,missing,0.2,0.903333,0.988333
missing_0.4,missing,0.4,0.873333,0.950000
outlier_0,outlier,0,0.981667,0.990000
outlier_0.05,outlier,0.05,0.866667,0.978333
outlier_0.1,outlier,0.1,0.786667,0.963333
outlier_0.2,outlier,0.2,0.676667,0.908333
outlier_0.4,outlier,0.4,0.486667,0.781667
scaling_0,scaling,0,0.981667,0.990000
scaling_0.05,scaling,0.05,0.983333,0.993333
scaling_0.1,scaling,0.1,0.963333,0.991667
scaling_0.2,scaling,0.2,0.960000,0.986667
scaling_0.4,scaling,0.4,0.915000,0.976667
trend_0,trend,0,0.981667,0.990000
trend_0.05,trend,0.05,0.983333,0.993333
trend_0.1,trend,0.1,0.963333,0.991667
trend_0.2,trend,0.2,0.960000,0.986667
trend_0.4,trend,0.4,0.915000,0.976667
