Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.966667,0.983333
jittering_0.05,jittering,0.05,0.970000,0.981667
jittering_0.1,jittering,0.1,0.975000,0.983333
jittering_0.2,jittering,0.2,0.970000,0.975000
jittering_0.4,jittering,0.4,0.941667,0.966667
missing_0,missing,0,0.966667,0.983333
missing_0.05,missing,0.05,0.963333,0.976667
missing_0.1,missing,0.1,0.958333,0.980000
missing_0.2,missing,0.2,0.920000,0.970000
missing_0.4,missing,0.4,0.781667,0.935000
outlier_0,outlier,0,0.966667,0.983333
outlier_0.05,outlier,0.05,0.903333,0.975000
outlier_0.1,outlier,0.1,0.806667,0.958333
outlier_0.2,outlier,0.2,0.693333,0.960000
outlier_0.4,outlier,0.4,0.526667,0.888333
scaling_0,scaling,0,0.966667,0.983333
scaling_0.05,scaling,0.05,0.970000,0.981667
scaling_0.1,scaling,0.1,0.975000,0.983333
scaling_0.2,scaling,0.2,0.970000,0.975000
scaling_0.4,scaling,0.4,0.941667,0.966667
trend_0,trend,0,0.966667,0.983333
trend_0.05,trend,0.05,0.970000,0.981667
trend_0.1,trend,0.1,0.975000,0.983333
trend_0.2,trend,0.2,0.970000,0.975000
trend_0.4,trend,0.4,0.941667,0.966667
