Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.981667,0.988333
jittering_0.05,jittering,0.05,0.980000,0.988333
jittering_0.1,jittering,0.1,0.978333,0.986667
jittering_0.2,jittering,0.2,0.975000,0.986667
jittering_0.4,jittering,0.4,0.950000,0.968333
missing_0,missing,0,0.981667,0.988333
missing_0.05,missing,0.05,0.980000,0.983333
missing_0.1,missing,0.1,0.963333,0.981667
missing_0.2,missing,0.2,0.938333,0.975000
missing_0.4,missing,0.4,0.801667,0.950000
outlier_0,outlier,0,0.981667,0.988333
outlier_0.05,outlier,0.05,0.913333,0.978333
outlier_0.1,outlier,0.1,0.833333,0.968333
outlier_0.2,outlier,0.2,0.673333,0.943333
outlier_0.4,outlier,0.4,0.543333,0.880000
scaling_0,scaling,0,0.981667,0.988333
scaling_0.05,scaling,0.05,0.980000,0.988333
scaling_0.1,scaling,0.1,0.978333,0.986667
scaling_0.2,scaling,0.2,0.975000,0.986667
scaling_0.4,scaling,0.4,0.950000,0.968333
trend_0,trend,0,0.981667,0.988333
trend_0.05,trend,0.05,0.980000,0.988333
trend_0.1,trend,0.1,0.978333,0.986667
trend_0.2,trend,0.2,0.975000,0.986667
trend_0.4,trend,0.4,0.950000,0.968333
