"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.985000","0.953333"
"jittering_0.05","jittering","0.05","0.990000","0.958333"
"jittering_0.1","jittering","0.1","0.988333","0.960000"
"jittering_0.2","jittering","0.2","0.983333","0.958333"
"jittering_0.4","jittering","0.4","0.965000","0.953333"
"missing_0","missing","0","0.985000","0.953333"
"missing_0.05","missing","0.05","0.983333","0.958333"
"missing_0.1","missing","0.1","0.968333","0.948333"
"missing_0.2","missing","0.2","0.930000","0.958333"
"missing_0.4","missing","0.4","0.826667","0.923333"
"outlier_0","outlier","0","0.985000","0.953333"
"outlier_0.05","outlier","0.05","0.765000","0.903333"
"outlier_0.1","outlier","0.1","0.628333","0.800000"
"outlier_0.2","outlier","0.2","0.506667","0.625000"
"outlier_0.4","outlier","0.4","0.396667","0.510000"
