Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.991667,0.986667
jittering_0.05,jittering,0.05,0.991667,0.985000
jittering_0.1,jittering,0.1,0.993333,0.983333
jittering_0.2,jittering,0.2,0.991667,0.981667
jittering_0.4,jittering,0.4,0.936667,0.961667
missing_0,missing,0,0.991667,0.986667
missing_0.05,missing,0.05,0.993333,0.978333
missing_0.1,missing,0.1,0.976667,0.980000
missing_0.2,missing,0.2,0.930000,0.956667
missing_0.4,missing,0.4,0.848333,0.928333
outlier_0,outlier,0,0.991667,0.986667
outlier_0.05,outlier,0.05,0.690000,0.791667
outlier_0.1,outlier,0.1,0.566667,0.683333
outlier_0.2,outlier,0.2,0.490000,0.575000
outlier_0.4,outlier,0.4,0.408333,0.515000
scaling_0,scaling,0,0.991667,0.986667
scaling_0.05,scaling,0.05,0.991667,0.985000
scaling_0.1,scaling,0.1,0.993333,0.983333
scaling_0.2,scaling,0.2,0.991667,0.981667
scaling_0.4,scaling,0.4,0.936667,0.961667
trend_0,trend,0,0.991667,0.986667
trend_0.05,trend,0.05,0.991667,0.985000
trend_0.1,trend,0.1,0.993333,0.983333
trend_0.2,trend,0.2,0.991667,0.981667
trend_0.4,trend,0.4,0.936667,0.961667
