Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.991667,0.971667
jittering_0.05,jittering,0.05,0.991667,0.973333
jittering_0.1,jittering,0.1,0.990000,0.973333
jittering_0.2,jittering,0.2,0.990000,0.970000
jittering_0.4,jittering,0.4,0.943333,0.955000
missing_0,missing,0,0.991667,0.971667
missing_0.05,missing,0.05,0.990000,0.970000
missing_0.1,missing,0.1,0.971667,0.955000
missing_0.2,missing,0.2,0.920000,0.946667
missing_0.4,missing,0.4,0.858333,0.888333
outlier_0,outlier,0,0.991667,0.971667
outlier_0.05,outlier,0.05,0.686667,0.823333
outlier_0.1,outlier,0.1,0.580000,0.748333
outlier_0.2,outlier,0.2,0.495000,0.623333
outlier_0.4,outlier,0.4,0.388333,0.521667
scaling_0,scaling,0,0.991667,0.971667
scaling_0.05,scaling,0.05,0.991667,0.973333
scaling_0.1,scaling,0.1,0.990000,0.973333
scaling_0.2,scaling,0.2,0.990000,0.970000
scaling_0.4,scaling,0.4,0.943333,0.955000
trend_0,trend,0,0.991667,0.971667
trend_0.05,trend,0.05,0.991667,0.973333
trend_0.1,trend,0.1,0.990000,0.973333
trend_0.2,trend,0.2,0.990000,0.970000
trend_0.4,trend,0.4,0.943333,0.955000
