"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.598333","0.833333"
"jittering_0.05","jittering","0.05","0.596667","0.808333"
"jittering_0.1","jittering","0.1","0.595000","0.790000"
"jittering_0.2","jittering","0.2","0.533333","0.770000"
"jittering_0.4","jittering","0.4","0.436667","0.695000"
"missing_0","missing","0","0.598333","0.833333"
"missing_0.05","missing","0.05","0.541667","0.810000"
"missing_0.1","missing","0.1","0.501667","0.795000"
"missing_0.2","missing","0.2","0.486667","0.791667"
"missing_0.4","missing","0.4","0.485000","0.820000"
"outlier_0","outlier","0","0.598333","0.833333"
"outlier_0.05","outlier","0.05","0.281667","0.385000"
"outlier_0.1","outlier","0.1","0.215000","0.318333"
"outlier_0.2","outlier","0.2","0.186667","0.231667"
"outlier_0.4","outlier","0.4","0.153333","0.196667"
