"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.588333","0.820000"
"jittering_0.05","jittering","0.05","0.588333","0.798333"
"jittering_0.1","jittering","0.1","0.596667","0.800000"
"jittering_0.2","jittering","0.2","0.541667","0.770000"
"jittering_0.4","jittering","0.4","0.426667","0.706667"
"missing_0","missing","0","0.588333","0.820000"
"missing_0.05","missing","0.05","0.545000","0.825000"
"missing_0.1","missing","0.1","0.520000","0.781667"
"missing_0.2","missing","0.2","0.495000","0.791667"
"missing_0.4","missing","0.4","0.538333","0.835000"
"outlier_0","outlier","0","0.588333","0.820000"
"outlier_0.05","outlier","0.05","0.283333","0.426667"
"outlier_0.1","outlier","0.1","0.220000","0.350000"
"outlier_0.2","outlier","0.2","0.193333","0.255000"
"outlier_0.4","outlier","0.4","0.148333","0.201667"
