Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.918333,0.965000
jittering_0.05,jittering,0.05,0.921667,0.963333
jittering_0.1,jittering,0.1,0.913333,0.963333
jittering_0.2,jittering,0.2,0.905000,0.963333
jittering_0.4,jittering,0.4,0.860000,0.956667
missing_0,missing,0,0.918333,0.965000
missing_0.05,missing,0.05,0.895000,0.958333
missing_0.1,missing,0.1,0.880000,0.956667
missing_0.2,missing,0.2,0.856667,0.930000
missing_0.4,missing,0.4,0.746667,0.898333
outlier_0,outlier,0,0.918333,0.965000
outlier_0.05,outlier,0.05,0.655000,0.840000
outlier_0.1,outlier,0.1,0.556667,0.741667
outlier_0.2,outlier,0.2,0.388333,0.566667
outlier_0.4,outlier,0.4,0.305000,0.418333
scaling_0,scaling,0,0.918333,0.965000
scaling_0.05,scaling,0.05,0.921667,0.963333
scaling_0.1,scaling,0.1,0.913333,0.963333
scaling_0.2,scaling,0.2,0.905000,0.963333
scaling_0.4,scaling,0.4,0.860000,0.956667
trend_0,trend,0,0.918333,0.965000
trend_0.05,trend,0.05,0.921667,0.963333
trend_0.1,trend,0.1,0.913333,0.963333
trend_0.2,trend,0.2,0.905000,0.963333
trend_0.4,trend,0.4,0.860000,0.956667
