Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.923333,0.960000
jittering_0.05,jittering,0.05,0.931667,0.955000
jittering_0.1,jittering,0.1,0.921667,0.955000
jittering_0.2,jittering,0.2,0.906667,0.941667
jittering_0.4,jittering,0.4,0.858333,0.931667
missing_0,missing,0,0.923333,0.960000
missing_0.05,missing,0.05,0.893333,0.945000
missing_0.1,missing,0.1,0.865000,0.945000
missing_0.2,missing,0.2,0.805000,0.906667
missing_0.4,missing,0.4,0.686667,0.825000
outlier_0,outlier,0,0.923333,0.960000
outlier_0.05,outlier,0.05,0.661667,0.760000
outlier_0.1,outlier,0.1,0.511667,0.673333
outlier_0.2,outlier,0.2,0.381667,0.515000
outlier_0.4,outlier,0.4,0.291667,0.435000
scaling_0,scaling,0,0.923333,0.960000
scaling_0.05,scaling,0.05,0.931667,0.955000
scaling_0.1,scaling,0.1,0.921667,0.955000
scaling_0.2,scaling,0.2,0.906667,0.941667
scaling_0.4,scaling,0.4,0.858333,0.931667
trend_0,trend,0,0.923333,0.960000
trend_0.05,trend,0.05,0.931667,0.955000
trend_0.1,trend,0.1,0.921667,0.955000
trend_0.2,trend,0.2,0.906667,0.941667
trend_0.4,trend,0.4,0.858333,0.931667
