"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.908333","0.948333"
"jittering_0.05","jittering","0.05","0.911667","0.951667"
"jittering_0.1","jittering","0.1","0.915000","0.946667"
"jittering_0.2","jittering","0.2","0.891667","0.941667"
"jittering_0.4","jittering","0.4","0.846667","0.925000"
"missing_0","missing","0","0.908333","0.948333"
"missing_0.05","missing","0.05","0.866667","0.938333"
"missing_0.1","missing","0.1","0.840000","0.935000"
"missing_0.2","missing","0.2","0.811667","0.925000"
"missing_0.4","missing","0.4","0.651667","0.881667"
"outlier_0","outlier","0","0.908333","0.948333"
"outlier_0.05","outlier","0.05","0.800000","0.943333"
"outlier_0.1","outlier","0.1","0.698333","0.908333"
"outlier_0.2","outlier","0.2","0.550000","0.840000"
"outlier_0.4","outlier","0.4","0.381667","0.676667"
