"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.938333","0.981667"
"jittering_0.05","jittering","0.05","0.938333","0.981667"
"jittering_0.1","jittering","0.1","0.935000","0.980000"
"jittering_0.2","jittering","0.2","0.926667","0.973333"
"jittering_0.4","jittering","0.4","0.886667","0.963333"
"missing_0","missing","0","0.938333","0.981667"
"missing_0.05","missing","0.05","0.916667","0.978333"
"missing_0.1","missing","0.1","0.926667","0.963333"
"missing_0.2","missing","0.2","0.891667","0.965000"
"missing_0.4","missing","0.4","0.785000","0.946667"
"outlier_0","outlier","0","0.938333","0.981667"
"outlier_0.05","outlier","0.05","0.663333","0.858333"
"outlier_0.1","outlier","0.1","0.576667","0.746667"
"outlier_0.2","outlier","0.2","0.408333","0.523333"
"outlier_0.4","outlier","0.4","0.318333","0.381667"
