"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.488889","0.522222"
"jittering_0.05","jittering","0.05","0.566667","0.500000"
"jittering_0.1","jittering","0.1","0.655556","0.605556"
"jittering_0.2","jittering","0.2","0.777778","0.711111"
"jittering_0.4","jittering","0.4","0.650000","0.783333"
"missing_0","missing","0","0.488889","0.522222"
"missing_0.05","missing","0.05","0.527778","0.455556"
"missing_0.1","missing","0.1","0.500000","0.527778"
"missing_0.2","missing","0.2","0.466667","0.544444"
"missing_0.4","missing","0.4","0.466667","0.550000"
"outlier_0","outlier","0","0.488889","0.522222"
"outlier_0.05","outlier","0.05","0.527778","0.616667"
"outlier_0.1","outlier","0.1","0.505556","0.566667"
"outlier_0.2","outlier","0.2","0.477778","0.522222"
"outlier_0.4","outlier","0.4","0.488889","0.466667"
