Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.861111,0.677778
jittering_0.05,jittering,0.05,0.800000,0.888889
jittering_0.1,jittering,0.1,0.638889,0.794444
jittering_0.2,jittering,0.2,0.527778,0.638889
jittering_0.4,jittering,0.4,0.344444,0.522222
missing_0,missing,0,0.861111,0.677778
missing_0.05,missing,0.05,0.861111,0.672222
missing_0.1,missing,0.1,0.855556,0.677778
missing_0.2,missing,0.2,0.772222,0.700000
missing_0.4,missing,0.4,0.727778,0.688889
outlier_0,outlier,0,0.861111,0.677778
outlier_0.05,outlier,0.05,0.900000,0.666667
outlier_0.1,outlier,0.1,0.827778,0.616667
outlier_0.2,outlier,0.2,0.750000,0.544444
outlier_0.4,outlier,0.4,0.661111,0.505556
scaling_0,scaling,0,0.861111,0.677778
scaling_0.05,scaling,0.05,0.800000,0.888889
scaling_0.1,scaling,0.1,0.638889,0.794444
scaling_0.2,scaling,0.2,0.527778,0.638889
scaling_0.4,scaling,0.4,0.344444,0.522222
trend_0,trend,0,0.861111,0.677778
trend_0.05,trend,0.05,0.800000,0.888889
trend_0.1,trend,0.1,0.638889,0.794444
trend_0.2,trend,0.2,0.527778,0.638889
trend_0.4,trend,0.4,0.344444,0.522222
