"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.911111","0.916667"
"jittering_0.05","jittering","0.05","0.911111","0.883333"
"jittering_0.1","jittering","0.1","0.883333","0.827778"
"jittering_0.2","jittering","0.2","0.800000","0.716667"
"jittering_0.4","jittering","0.4","0.577778","0.661111"
"missing_0","missing","0","0.911111","0.916667"
"missing_0.05","missing","0.05","0.905556","0.900000"
"missing_0.1","missing","0.1","0.883333","0.850000"
"missing_0.2","missing","0.2","0.850000","0.838889"
"missing_0.4","missing","0.4","0.788889","0.772222"
"outlier_0","outlier","0","0.911111","0.916667"
"outlier_0.05","outlier","0.05","0.755556","0.761111"
"outlier_0.1","outlier","0.1","0.594444","0.700000"
"outlier_0.2","outlier","0.2","0.588889","0.644444"
"outlier_0.4","outlier","0.4","0.505556","0.583333"
