Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.950000,0.911111
jittering_0.05,jittering,0.05,0.950000,0.905556
jittering_0.1,jittering,0.1,0.938889,0.911111
jittering_0.2,jittering,0.2,0.883333,0.894444
jittering_0.4,jittering,0.4,0.633333,0.783333
missing_0,missing,0,0.950000,0.911111
missing_0.05,missing,0.05,0.900000,0.894444
missing_0.1,missing,0.1,0.916667,0.900000
missing_0.2,missing,0.2,0.844444,0.844444
missing_0.4,missing,0.4,0.733333,0.755556
outlier_0,outlier,0,0.950000,0.911111
outlier_0.05,outlier,0.05,0.527778,0.661111
outlier_0.1,outlier,0.1,0.494444,0.588889
outlier_0.2,outlier,0.2,0.527778,0.583333
outlier_0.4,outlier,0.4,0.455556,0.505556
scaling_0,scaling,0,0.950000,0.911111
scaling_0.05,scaling,0.05,0.950000,0.905556
scaling_0.1,scaling,0.1,0.938889,0.911111
scaling_0.2,scaling,0.2,0.883333,0.894444
scaling_0.4,scaling,0.4,0.633333,0.783333
trend_0,trend,0,0.950000,0.911111
trend_0.05,trend,0.05,0.950000,0.905556
trend_0.1,trend,0.1,0.938889,0.911111
trend_0.2,trend,0.2,0.883333,0.894444
trend_0.4,trend,0.4,0.633333,0.783333
