Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.961111,0.477778
jittering_0.05,jittering,0.05,0.983333,0.538889
jittering_0.1,jittering,0.1,0.988889,0.544444
jittering_0.2,jittering,0.2,0.938889,0.522222
jittering_0.4,jittering,0.4,0.550000,0.555556
missing_0,missing,0,0.961111,0.477778
missing_0.05,missing,0.05,0.950000,0.327778
missing_0.1,missing,0.1,0.916667,0.327778
missing_0.2,missing,0.2,0.894444,0.344444
missing_0.4,missing,0.4,0.855556,0.433333
outlier_0,outlier,0,0.961111,0.477778
outlier_0.05,outlier,0.05,0.538889,0.383333
outlier_0.1,outlier,0.1,0.438889,0.505556
outlier_0.2,outlier,0.2,0.466667,0.527778
outlier_0.4,outlier,0.4,0.466667,0.505556
scaling_0,scaling,0,0.961111,0.477778
scaling_0.05,scaling,0.05,0.983333,0.538889
scaling_0.1,scaling,0.1,0.988889,0.544444
scaling_0.2,scaling,0.2,0.938889,0.522222
scaling_0.4,scaling,0.4,0.550000,0.555556
trend_0,trend,0,0.961111,0.477778
trend_0.05,trend,0.05,0.983333,0.538889
trend_0.1,trend,0.1,0.988889,0.544444
trend_0.2,trend,0.2,0.938889,0.522222
trend_0.4,trend,0.4,0.550000,0.555556
