"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.983333","0.600000"
"jittering_0.05","jittering","0.05","0.988889","0.577778"
"jittering_0.1","jittering","0.1","0.994444","0.588889"
"jittering_0.2","jittering","0.2","0.950000","0.783333"
"jittering_0.4","jittering","0.4","0.627778","0.761111"
"missing_0","missing","0","0.983333","0.600000"
"missing_0.05","missing","0.05","0.972222","0.672222"
"missing_0.1","missing","0.1","0.950000","0.811111"
"missing_0.2","missing","0.2","0.938889","0.855556"
"missing_0.4","missing","0.4","0.916667","0.777778"
"outlier_0","outlier","0","0.983333","0.600000"
"outlier_0.05","outlier","0.05","0.594444","0.644444"
"outlier_0.1","outlier","0.1","0.477778","0.588889"
"outlier_0.2","outlier","0.2","0.527778","0.550000"
"outlier_0.4","outlier","0.4","0.494444","0.494444"
