Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.983333,0.811111
jittering_0.05,jittering,0.05,0.988889,0.972222
jittering_0.1,jittering,0.1,0.561111,0.855556
jittering_0.2,jittering,0.2,0.333333,0.583333
jittering_0.4,jittering,0.4,0.333333,0.366667
missing_0,missing,0,0.983333,0.811111
missing_0.05,missing,0.05,0.733333,0.733333
missing_0.1,missing,0.1,0.633333,0.633333
missing_0.2,missing,0.2,0.661111,0.655556
missing_0.4,missing,0.4,0.588889,0.627778
outlier_0,outlier,0,0.983333,0.811111
outlier_0.05,outlier,0.05,0.338889,0.538889
outlier_0.1,outlier,0.1,0.261111,0.283333
outlier_0.2,outlier,0.2,0.394444,0.361111
outlier_0.4,outlier,0.4,0.372222,0.355556
scaling_0,scaling,0,0.983333,0.811111
scaling_0.05,scaling,0.05,0.988889,0.972222
scaling_0.1,scaling,0.1,0.561111,0.855556
scaling_0.2,scaling,0.2,0.333333,0.583333
scaling_0.4,scaling,0.4,0.333333,0.366667
trend_0,trend,0,0.983333,0.811111
trend_0.05,trend,0.05,0.988889,0.972222
trend_0.1,trend,0.1,0.561111,0.855556
trend_0.2,trend,0.2,0.333333,0.583333
trend_0.4,trend,0.4,0.333333,0.366667
