"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.994444","0.922222"
"jittering_0.05","jittering","0.05","0.988889","0.977778"
"jittering_0.1","jittering","0.1","0.594444","0.916667"
"jittering_0.2","jittering","0.2","0.333333","0.722222"
"jittering_0.4","jittering","0.4","0.333333","0.488889"
"missing_0","missing","0","0.994444","0.922222"
"missing_0.05","missing","0.05","0.816667","0.833333"
"missing_0.1","missing","0.1","0.761111","0.850000"
"missing_0.2","missing","0.2","0.700000","0.833333"
"missing_0.4","missing","0.4","0.627778","0.800000"
"outlier_0","outlier","0","0.994444","0.922222"
"outlier_0.05","outlier","0.05","0.261111","0.427778"
"outlier_0.1","outlier","0.1","0.216667","0.283333"
"outlier_0.2","outlier","0.2","0.372222","0.377778"
"outlier_0.4","outlier","0.4","0.394444","0.394444"
