"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.966667","0.644444"
"jittering_0.05","jittering","0.05","0.961111","0.727778"
"jittering_0.1","jittering","0.1","0.966667","0.727778"
"jittering_0.2","jittering","0.2","0.894444","0.772222"
"jittering_0.4","jittering","0.4","0.594444","0.600000"
"missing_0","missing","0","0.966667","0.644444"
"missing_0.05","missing","0.05","0.900000","0.688889"
"missing_0.1","missing","0.1","0.877778","0.677778"
"missing_0.2","missing","0.2","0.761111","0.600000"
"missing_0.4","missing","0.4","0.688889","0.516667"
"outlier_0","outlier","0","0.966667","0.644444"
"outlier_0.05","outlier","0.05","0.511111","0.516667"
"outlier_0.1","outlier","0.1","0.505556","0.472222"
"outlier_0.2","outlier","0.2","0.433333","0.450000"
"outlier_0.4","outlier","0.4","0.405556","0.450000"
