"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.950000","0.916667"
"jittering_0.05","jittering","0.05","0.950000","0.905556"
"jittering_0.1","jittering","0.1","0.938889","0.877778"
"jittering_0.2","jittering","0.2","0.872222","0.727778"
"jittering_0.4","jittering","0.4","0.594444","0.672222"
"missing_0","missing","0","0.950000","0.916667"
"missing_0.05","missing","0.05","0.922222","0.844444"
"missing_0.1","missing","0.1","0.872222","0.755556"
"missing_0.2","missing","0.2","0.783333","0.694444"
"missing_0.4","missing","0.4","0.622222","0.666667"
"outlier_0","outlier","0","0.950000","0.916667"
"outlier_0.05","outlier","0.05","0.611111","0.650000"
"outlier_0.1","outlier","0.1","0.472222","0.566667"
"outlier_0.2","outlier","0.2","0.516667","0.561111"
"outlier_0.4","outlier","0.4","0.400000","0.572222"
