Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.950000,0.744444
jittering_0.05,jittering,0.05,0.955556,0.755556
jittering_0.1,jittering,0.1,0.950000,0.772222
jittering_0.2,jittering,0.2,0.844444,0.805556
jittering_0.4,jittering,0.4,0.600000,0.644444
missing_0,missing,0,0.950000,0.744444
missing_0.05,missing,0.05,0.916667,0.794444
missing_0.1,missing,0.1,0.883333,0.805556
missing_0.2,missing,0.2,0.805556,0.772222
missing_0.4,missing,0.4,0.661111,0.683333
outlier_0,outlier,0,0.950000,0.744444
outlier_0.05,outlier,0.05,0.527778,0.561111
outlier_0.1,outlier,0.1,0.450000,0.544444
outlier_0.2,outlier,0.2,0.488889,0.477778
outlier_0.4,outlier,0.4,0.361111,0.444444
scaling_0,scaling,0,0.950000,0.744444
scaling_0.05,scaling,0.05,0.955556,0.755556
scaling_0.1,scaling,0.1,0.950000,0.772222
scaling_0.2,scaling,0.2,0.844444,0.805556
scaling_0.4,scaling,0.4,0.600000,0.644444
trend_0,trend,0,0.950000,0.744444
trend_0.05,trend,0.05,0.955556,0.755556
trend_0.1,trend,0.1,0.950000,0.772222
trend_0.2,trend,0.2,0.844444,0.805556
trend_0.4,trend,0.4,0.600000,0.644444
