"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.666667","0.350000"
"jittering_0.05","jittering","0.05","0.350000","0.333333"
"jittering_0.1","jittering","0.1","0.250000","0.333333"
"jittering_0.2","jittering","0.2","0.250000","0.233333"
"jittering_0.4","jittering","0.4","0.250000","0.200000"
"missing_0","missing","0","0.666667","0.350000"
"missing_0.05","missing","0.05","0.350000","0.300000"
"missing_0.1","missing","0.1","0.283333","0.383333"
"missing_0.2","missing","0.2","0.383333","0.283333"
"missing_0.4","missing","0.4","0.333333","0.350000"
"outlier_0","outlier","0","0.666667","0.350000"
"outlier_0.05","outlier","0.05","0.166667","0.133333"
"outlier_0.1","outlier","0.1","0.233333","0.166667"
"outlier_0.2","outlier","0.2","0.250000","0.266667"
"outlier_0.4","outlier","0.4","0.250000","0.133333"
