"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.616667","0.383333"
"jittering_0.05","jittering","0.05","0.566667","0.366667"
"jittering_0.1","jittering","0.1","0.533333","0.350000"
"jittering_0.2","jittering","0.2","0.466667","0.350000"
"jittering_0.4","jittering","0.4","0.400000","0.350000"
"missing_0","missing","0","0.616667","0.383333"
"missing_0.05","missing","0.05","0.516667","0.350000"
"missing_0.1","missing","0.1","0.416667","0.333333"
"missing_0.2","missing","0.2","0.500000","0.300000"
"missing_0.4","missing","0.4","0.383333","0.316667"
"outlier_0","outlier","0","0.616667","0.383333"
"outlier_0.05","outlier","0.05","0.316667","0.366667"
"outlier_0.1","outlier","0.1","0.300000","0.300000"
"outlier_0.2","outlier","0.2","0.233333","0.216667"
"outlier_0.4","outlier","0.4","0.316667","0.250000"
