Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.518182,0.534848
jittering_0.05,jittering,0.05,0.518182,0.571212
jittering_0.1,jittering,0.1,0.518182,0.607576
jittering_0.2,jittering,0.2,0.534848,0.715152
jittering_0.4,jittering,0.4,0.554545,0.786364
missing_0,missing,0,0.518182,0.534848
missing_0.05,missing,0.05,0.624242,0.539394
missing_0.1,missing,0.1,0.625758,0.627273
missing_0.2,missing,0.2,0.498485,0.518182
missing_0.4,missing,0.4,0.466667,0.590909
outlier_0,outlier,0,0.518182,0.534848
outlier_0.05,outlier,0.05,0.554545,0.589394
outlier_0.1,outlier,0.1,0.554545,0.554545
outlier_0.2,outlier,0.2,0.554545,0.518182
outlier_0.4,outlier,0.4,0.554545,0.518182
scaling_0,scaling,0,0.518182,0.534848
scaling_0.05,scaling,0.05,0.518182,0.571212
scaling_0.1,scaling,0.1,0.518182,0.607576
scaling_0.2,scaling,0.2,0.534848,0.715152
scaling_0.4,scaling,0.4,0.554545,0.786364
trend_0,trend,0,0.518182,0.534848
trend_0.05,trend,0.05,0.518182,0.571212
trend_0.1,trend,0.1,0.518182,0.607576
trend_0.2,trend,0.2,0.534848,0.715152
trend_0.4,trend,0.4,0.554545,0.786364
