"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","1.000000","0.965152"
"jittering_0.05","jittering","0.05","1.000000","0.983333"
"jittering_0.1","jittering","0.1","0.822727","0.981818"
"jittering_0.2","jittering","0.2","0.589394","0.931818"
"jittering_0.4","jittering","0.4","0.554545","0.554545"
"missing_0","missing","0","1.000000","0.965152"
"missing_0.05","missing","0.05","0.981818","0.946970"
"missing_0.1","missing","0.1","0.946970","0.981818"
"missing_0.2","missing","0.2","0.912121","0.981818"
"missing_0.4","missing","0.4","0.895455","0.981818"
"outlier_0","outlier","0","1.000000","0.965152"
"outlier_0.05","outlier","0.05","0.681818","0.930303"
"outlier_0.1","outlier","0.1","0.571212","0.786364"
"outlier_0.2","outlier","0.2","0.554545","0.572727"
"outlier_0.4","outlier","0.4","0.554545","0.518182"
