Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,1.000000
jittering_0.05,jittering,0.05,0.983333,1.000000
jittering_0.1,jittering,0.1,0.753030,1.000000
jittering_0.2,jittering,0.2,0.589394,0.930303
jittering_0.4,jittering,0.4,0.554545,0.572727
missing_0,missing,0,1.000000,1.000000
missing_0.05,missing,0.05,0.981818,1.000000
missing_0.1,missing,0.1,0.930303,1.000000
missing_0.2,missing,0.2,0.892424,0.966667
missing_0.4,missing,0.4,0.875758,0.948485
outlier_0,outlier,0,1.000000,1.000000
outlier_0.05,outlier,0.05,0.643939,0.931818
outlier_0.1,outlier,0.1,0.589394,0.713636
outlier_0.2,outlier,0.2,0.625758,0.518182
outlier_0.4,outlier,0.4,0.574242,0.518182
scaling_0,scaling,0,1.000000,1.000000
scaling_0.05,scaling,0.05,0.983333,1.000000
scaling_0.1,scaling,0.1,0.753030,1.000000
scaling_0.2,scaling,0.2,0.589394,0.930303
scaling_0.4,scaling,0.4,0.554545,0.572727
trend_0,trend,0,1.000000,1.000000
trend_0.05,trend,0.05,0.983333,1.000000
trend_0.1,trend,0.1,0.753030,1.000000
trend_0.2,trend,0.2,0.589394,0.930303
trend_0.4,trend,0.4,0.554545,0.572727
