Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,0.983333
jittering_0.05,jittering,0.05,1.000000,0.983333
jittering_0.1,jittering,0.1,0.807576,1.000000
jittering_0.2,jittering,0.2,0.589394,0.965152
jittering_0.4,jittering,0.4,0.554545,0.768182
missing_0,missing,0,1.000000,0.983333
missing_0.05,missing,0.05,0.698485,0.963636
missing_0.1,missing,0.1,0.607576,0.874242
missing_0.2,missing,0.2,0.772727,0.860606
missing_0.4,missing,0.4,0.519697,0.696970
outlier_0,outlier,0,1.000000,0.983333
outlier_0.05,outlier,0.05,0.445455,0.483333
outlier_0.1,outlier,0.1,0.537879,0.642424
outlier_0.2,outlier,0.2,0.504545,0.481818
outlier_0.4,outlier,0.4,0.425758,0.518182
scaling_0,scaling,0,1.000000,0.983333
scaling_0.05,scaling,0.05,1.000000,0.983333
scaling_0.1,scaling,0.1,0.807576,1.000000
scaling_0.2,scaling,0.2,0.589394,0.965152
scaling_0.4,scaling,0.4,0.554545,0.768182
trend_0,trend,0,1.000000,0.983333
trend_0.05,trend,0.05,1.000000,0.983333
trend_0.1,trend,0.1,0.807576,1.000000
trend_0.2,trend,0.2,0.589394,0.965152
trend_0.4,trend,0.4,0.554545,0.768182
