Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,0.981818
jittering_0.05,jittering,0.05,1.000000,0.981818
jittering_0.1,jittering,0.1,0.928788,0.981818
jittering_0.2,jittering,0.2,0.589394,0.946970
jittering_0.4,jittering,0.4,0.554545,0.587879
missing_0,missing,0,1.000000,0.981818
missing_0.05,missing,0.05,0.786364,0.912121
missing_0.1,missing,0.1,0.803030,0.875758
missing_0.2,missing,0.2,0.696970,0.877273
missing_0.4,missing,0.4,0.748485,0.910606
outlier_0,outlier,0,1.000000,0.981818
outlier_0.05,outlier,0.05,0.589394,0.392424
outlier_0.1,outlier,0.1,0.445455,0.574242
outlier_0.2,outlier,0.2,0.463636,0.446970
outlier_0.4,outlier,0.4,0.409091,0.518182
scaling_0,scaling,0,1.000000,0.981818
scaling_0.05,scaling,0.05,1.000000,0.981818
scaling_0.1,scaling,0.1,0.928788,0.981818
scaling_0.2,scaling,0.2,0.589394,0.946970
scaling_0.4,scaling,0.4,0.554545,0.587879
trend_0,trend,0,1.000000,0.981818
trend_0.05,trend,0.05,1.000000,0.981818
trend_0.1,trend,0.1,0.928788,0.981818
trend_0.2,trend,0.2,0.589394,0.946970
trend_0.4,trend,0.4,0.554545,0.587879
