Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,0.965152
jittering_0.05,jittering,0.05,1.000000,0.981818
jittering_0.1,jittering,0.1,0.928788,0.981818
jittering_0.2,jittering,0.2,0.571212,0.983333
jittering_0.4,jittering,0.4,0.554545,0.660606
missing_0,missing,0,1.000000,0.965152
missing_0.05,missing,0.05,0.663636,0.930303
missing_0.1,missing,0.1,0.733333,0.875758
missing_0.2,missing,0.2,0.713636,0.893939
missing_0.4,missing,0.4,0.842424,0.857576
outlier_0,outlier,0,1.000000,0.965152
outlier_0.05,outlier,0.05,0.463636,0.463636
outlier_0.1,outlier,0.1,0.589394,0.607576
outlier_0.2,outlier,0.2,0.533333,0.481818
outlier_0.4,outlier,0.4,0.410606,0.518182
scaling_0,scaling,0,1.000000,0.965152
scaling_0.05,scaling,0.05,1.000000,0.981818
scaling_0.1,scaling,0.1,0.928788,0.981818
scaling_0.2,scaling,0.2,0.571212,0.983333
scaling_0.4,scaling,0.4,0.554545,0.660606
trend_0,trend,0,1.000000,0.965152
trend_0.05,trend,0.05,1.000000,0.981818
trend_0.1,trend,0.1,0.928788,0.981818
trend_0.2,trend,0.2,0.571212,0.983333
trend_0.4,trend,0.4,0.554545,0.660606
