Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.983333,1.000000
jittering_0.05,jittering,0.05,0.589394,0.983333
jittering_0.1,jittering,0.1,0.554545,0.786364
jittering_0.2,jittering,0.2,0.554545,0.518182
jittering_0.4,jittering,0.4,0.554545,0.518182
missing_0,missing,0,0.983333,1.000000
missing_0.05,missing,0.05,0.531818,0.536364
missing_0.1,missing,0.1,0.484848,0.516667
missing_0.2,missing,0.2,0.712121,0.622727
missing_0.4,missing,0.4,0.574242,0.731818
outlier_0,outlier,0,0.983333,1.000000
outlier_0.05,outlier,0.05,0.501515,0.428788
outlier_0.1,outlier,0.1,0.443939,0.498485
outlier_0.2,outlier,0.2,0.521212,0.518182
outlier_0.4,outlier,0.4,0.590909,0.518182
scaling_0,scaling,0,0.983333,1.000000
scaling_0.05,scaling,0.05,0.589394,0.983333
scaling_0.1,scaling,0.1,0.554545,0.786364
scaling_0.2,scaling,0.2,0.554545,0.518182
scaling_0.4,scaling,0.4,0.554545,0.518182
trend_0,trend,0,0.983333,1.000000
trend_0.05,trend,0.05,0.589394,0.983333
trend_0.1,trend,0.1,0.554545,0.786364
trend_0.2,trend,0.2,0.554545,0.518182
trend_0.4,trend,0.4,0.554545,0.518182
