"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.983333","1.000000"
"jittering_0.05","jittering","0.05","0.572727","0.983333"
"jittering_0.1","jittering","0.1","0.554545","0.806061"
"jittering_0.2","jittering","0.2","0.554545","0.536364"
"jittering_0.4","jittering","0.4","0.554545","0.518182"
"missing_0","missing","0","0.983333","1.000000"
"missing_0.05","missing","0.05","0.568182","0.553030"
"missing_0.1","missing","0.1","0.536364","0.662121"
"missing_0.2","missing","0.2","0.590909","0.642424"
"missing_0.4","missing","0.4","0.496970","0.662121"
"outlier_0","outlier","0","0.983333","1.000000"
"outlier_0.05","outlier","0.05","0.609091","0.340909"
"outlier_0.1","outlier","0.1","0.478788","0.465152"
"outlier_0.2","outlier","0.2","0.592424","0.501515"
"outlier_0.4","outlier","0.4","0.500000","0.501515"
