"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","1.000000","1.000000"
"jittering_0.05","jittering","0.05","1.000000","1.000000"
"jittering_0.1","jittering","0.1","0.807576","1.000000"
"jittering_0.2","jittering","0.2","0.589394","0.946970"
"jittering_0.4","jittering","0.4","0.554545","0.572727"
"missing_0","missing","0","1.000000","1.000000"
"missing_0.05","missing","0.05","0.665152","0.965152"
"missing_0.1","missing","0.1","0.678788","0.839394"
"missing_0.2","missing","0.2","0.677273","0.518182"
"missing_0.4","missing","0.4","0.571212","0.536364"
"outlier_0","outlier","0","1.000000","1.000000"
"outlier_0.05","outlier","0.05","0.500000","0.554545"
"outlier_0.1","outlier","0.1","0.440909","0.518182"
"outlier_0.2","outlier","0.2","0.443939","0.518182"
"outlier_0.4","outlier","0.4","0.542424","0.518182"
