Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,0.983333
jittering_0.05,jittering,0.05,1.000000,0.983333
jittering_0.1,jittering,0.1,0.807576,1.000000
jittering_0.2,jittering,0.2,0.589394,0.946970
jittering_0.4,jittering,0.4,0.554545,0.751515
missing_0,missing,0,1.000000,0.983333
missing_0.05,missing,0.05,0.819697,0.963636
missing_0.1,missing,0.1,0.659091,0.892424
missing_0.2,missing,0.2,0.572727,0.718182
missing_0.4,missing,0.4,0.606061,0.500000
outlier_0,outlier,0,1.000000,0.983333
outlier_0.05,outlier,0.05,0.445455,0.590909
outlier_0.1,outlier,0.1,0.569697,0.518182
outlier_0.2,outlier,0.2,0.483333,0.518182
outlier_0.4,outlier,0.4,0.392424,0.518182
scaling_0,scaling,0,1.000000,0.983333
scaling_0.05,scaling,0.05,1.000000,0.983333
scaling_0.1,scaling,0.1,0.807576,1.000000
scaling_0.2,scaling,0.2,0.589394,0.946970
scaling_0.4,scaling,0.4,0.554545,0.751515
trend_0,trend,0,1.000000,0.983333
trend_0.05,trend,0.05,1.000000,0.983333
trend_0.1,trend,0.1,0.807576,1.000000
trend_0.2,trend,0.2,0.589394,0.946970
trend_0.4,trend,0.4,0.554545,0.751515
