"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.513439","0.513439"
"jittering_0.05","jittering","0.05","0.513439","0.513439"
"jittering_0.1","jittering","0.1","0.513439","0.513439"
"jittering_0.2","jittering","0.2","0.513439","0.531225"
"jittering_0.4","jittering","0.4","0.513439","0.569170"
"missing_0","missing","0","0.513439","0.513439"
"missing_0.05","missing","0.05","0.505534","0.512253"
"missing_0.1","missing","0.1","0.495652","0.539921"
"missing_0.2","missing","0.2","0.476680","0.485771"
"missing_0.4","missing","0.4","0.432411","0.450198"
"outlier_0","outlier","0","0.513439","0.513439"
"outlier_0.05","outlier","0.05","0.513439","0.567589"
"outlier_0.1","outlier","0.1","0.513439","0.559289"
"outlier_0.2","outlier","0.2","0.513439","0.477075"
"outlier_0.4","outlier","0.4","0.513439","0.504348"
