"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.513439","0.422530"
"jittering_0.05","jittering","0.05","0.522134","0.477866"
"jittering_0.1","jittering","0.1","0.513439","0.451383"
"jittering_0.2","jittering","0.2","0.513439","0.513043"
"jittering_0.4","jittering","0.4","0.513439","0.513439"
"missing_0","missing","0","0.513439","0.422530"
"missing_0.05","missing","0.05","0.528854","0.487747"
"missing_0.1","missing","0.1","0.485771","0.477470"
"missing_0.2","missing","0.2","0.477470","0.415020"
"missing_0.4","missing","0.4","0.495652","0.522925"
"outlier_0","outlier","0","0.513439","0.422530"
"outlier_0.05","outlier","0.05","0.513439","0.495257"
"outlier_0.1","outlier","0.1","0.513439","0.523320"
"outlier_0.2","outlier","0.2","0.513439","0.504348"
"outlier_0.4","outlier","0.4","0.513439","0.513439"
