Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,0.458498
jittering_0.05,jittering,0.05,0.522134,0.557312
jittering_0.1,jittering,0.1,0.513439,0.558103
jittering_0.2,jittering,0.2,0.513439,0.530830
jittering_0.4,jittering,0.4,0.513439,0.513439
missing_0,missing,0,1.000000,0.458498
missing_0.05,missing,0.05,0.495652,0.549407
missing_0.1,missing,0.1,0.457312,0.586166
missing_0.2,missing,0.2,0.557312,0.540711
missing_0.4,missing,0.4,0.451383,0.496047
outlier_0,outlier,0,1.000000,0.458498
outlier_0.05,outlier,0.05,0.513439,0.451383
outlier_0.1,outlier,0.1,0.514229,0.540316
outlier_0.2,outlier,0.2,0.458893,0.496838
outlier_0.4,outlier,0.4,0.549802,0.576680
scaling_0,scaling,0,1.000000,0.458498
scaling_0.05,scaling,0.05,0.522134,0.557312
scaling_0.1,scaling,0.1,0.513439,0.558103
scaling_0.2,scaling,0.2,0.513439,0.530830
scaling_0.4,scaling,0.4,0.513439,0.513439
trend_0,trend,0,1.000000,0.458498
trend_0.05,trend,0.05,0.522134,0.557312
trend_0.1,trend,0.1,0.513439,0.558103
trend_0.2,trend,0.2,0.513439,0.530830
trend_0.4,trend,0.4,0.513439,0.513439
