Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.991304,0.440711
jittering_0.05,jittering,0.05,0.486166,0.575889
jittering_0.1,jittering,0.1,0.513439,0.504743
jittering_0.2,jittering,0.2,0.513439,0.486561
jittering_0.4,jittering,0.4,0.513439,0.477470
missing_0,missing,0,0.991304,0.440711
missing_0.05,missing,0.05,0.513439,0.441107
missing_0.1,missing,0.1,0.469170,0.511858
missing_0.2,missing,0.2,0.486957,0.530830
missing_0.4,missing,0.4,0.514229,0.513834
outlier_0,outlier,0,0.991304,0.440711
outlier_0.05,outlier,0.05,0.494862,0.449407
outlier_0.1,outlier,0.1,0.513834,0.505534
outlier_0.2,outlier,0.2,0.505534,0.515415
outlier_0.4,outlier,0.4,0.531621,0.531225
scaling_0,scaling,0,0.991304,0.440711
scaling_0.05,scaling,0.05,0.486166,0.575889
scaling_0.1,scaling,0.1,0.513439,0.504743
scaling_0.2,scaling,0.2,0.513439,0.486561
scaling_0.4,scaling,0.4,0.513439,0.477470
trend_0,trend,0,0.991304,0.440711
trend_0.05,trend,0.05,0.486166,0.575889
trend_0.1,trend,0.1,0.513439,0.504743
trend_0.2,trend,0.2,0.513439,0.486561
trend_0.4,trend,0.4,0.513439,0.477470
