"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.991304","0.440711"
"jittering_0.05","jittering","0.05","0.486166","0.549012"
"jittering_0.1","jittering","0.1","0.513439","0.540711"
"jittering_0.2","jittering","0.2","0.513439","0.522925"
"jittering_0.4","jittering","0.4","0.513439","0.495652"
"missing_0","missing","0","0.991304","0.440711"
"missing_0.05","missing","0.05","0.559289","0.513834"
"missing_0.1","missing","0.1","0.432411","0.458498"
"missing_0.2","missing","0.2","0.459684","0.495652"
"missing_0.4","missing","0.4","0.433202","0.529644"
"outlier_0","outlier","0","0.991304","0.440711"
"outlier_0.05","outlier","0.05","0.485375","0.451779"
"outlier_0.1","outlier","0.1","0.405534","0.550593"
"outlier_0.2","outlier","0.2","0.467589","0.575889"
"outlier_0.4","outlier","0.4","0.639921","0.568775"
