Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.945850,0.359684
jittering_0.05,jittering,0.05,0.513439,0.550198
jittering_0.1,jittering,0.1,0.513439,0.513439
jittering_0.2,jittering,0.2,0.513439,0.522925
jittering_0.4,jittering,0.4,0.513439,0.513834
missing_0,missing,0,0.945850,0.359684
missing_0.05,missing,0.05,0.515020,0.450198
missing_0.1,missing,0.1,0.439921,0.513439
missing_0.2,missing,0.2,0.487747,0.558498
missing_0.4,missing,0.4,0.503557,0.468775
outlier_0,outlier,0,0.945850,0.359684
outlier_0.05,outlier,0.05,0.459684,0.486561
outlier_0.1,outlier,0.1,0.415415,0.477866
outlier_0.2,outlier,0.2,0.512648,0.430830
outlier_0.4,outlier,0.4,0.459684,0.486561
scaling_0,scaling,0,0.945850,0.359684
scaling_0.05,scaling,0.05,0.513439,0.550198
scaling_0.1,scaling,0.1,0.513439,0.513439
scaling_0.2,scaling,0.2,0.513439,0.522925
scaling_0.4,scaling,0.4,0.513439,0.513834
trend_0,trend,0,0.945850,0.359684
trend_0.05,trend,0.05,0.513439,0.550198
trend_0.1,trend,0.1,0.513439,0.513439
trend_0.2,trend,0.2,0.513439,0.522925
trend_0.4,trend,0.4,0.513439,0.513834
