Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,0.458498
jittering_0.05,jittering,0.05,0.513043,0.512253
jittering_0.1,jittering,0.1,0.513439,0.567194
jittering_0.2,jittering,0.2,0.513439,0.522134
jittering_0.4,jittering,0.4,0.513439,0.495257
missing_0,missing,0,1.000000,0.458498
missing_0.05,missing,0.05,0.478261,0.468775
missing_0.1,missing,0.1,0.541502,0.505534
missing_0.2,missing,0.2,0.503162,0.520949
missing_0.4,missing,0.4,0.484190,0.496443
outlier_0,outlier,0,1.000000,0.458498
outlier_0.05,outlier,0.05,0.522530,0.367984
outlier_0.1,outlier,0.1,0.514229,0.468775
outlier_0.2,outlier,0.2,0.513043,0.657708
outlier_0.4,outlier,0.4,0.605138,0.406324
scaling_0,scaling,0,1.000000,0.458498
scaling_0.05,scaling,0.05,0.513043,0.512253
scaling_0.1,scaling,0.1,0.513439,0.567194
scaling_0.2,scaling,0.2,0.513439,0.522134
scaling_0.4,scaling,0.4,0.513439,0.495257
trend_0,trend,0,1.000000,0.458498
trend_0.05,trend,0.05,0.513043,0.512253
trend_0.1,trend,0.1,0.513439,0.567194
trend_0.2,trend,0.2,0.513439,0.522134
trend_0.4,trend,0.4,0.513439,0.495257
