"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.991304","0.756917"
"jittering_0.05","jittering","0.05","0.513439","0.522134"
"jittering_0.1","jittering","0.1","0.513439","0.513439"
"jittering_0.2","jittering","0.2","0.513439","0.513439"
"jittering_0.4","jittering","0.4","0.513439","0.513439"
"missing_0","missing","0","0.991304","0.756917"
"missing_0.05","missing","0.05","0.541897","0.658498"
"missing_0.1","missing","0.1","0.576680","0.594071"
"missing_0.2","missing","0.2","0.594071","0.486957"
"missing_0.4","missing","0.4","0.484980","0.459684"
"outlier_0","outlier","0","0.991304","0.756917"
"outlier_0.05","outlier","0.05","0.495257","0.539921"
"outlier_0.1","outlier","0.1","0.513439","0.540711"
"outlier_0.2","outlier","0.2","0.513439","0.504348"
"outlier_0.4","outlier","0.4","0.513439","0.504348"
