Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,0.631225
jittering_0.05,jittering,0.05,0.522134,0.522134
jittering_0.1,jittering,0.1,0.513439,0.522134
jittering_0.2,jittering,0.2,0.513439,0.513439
jittering_0.4,jittering,0.4,0.513439,0.513439
missing_0,missing,0,1.000000,0.631225
missing_0.05,missing,0.05,0.532806,0.530435
missing_0.1,missing,0.1,0.468775,0.468775
missing_0.2,missing,0.2,0.521344,0.504743
missing_0.4,missing,0.4,0.532016,0.494862
outlier_0,outlier,0,1.000000,0.631225
outlier_0.05,outlier,0.05,0.521344,0.513439
outlier_0.1,outlier,0.1,0.496047,0.531621
outlier_0.2,outlier,0.2,0.477866,0.513439
outlier_0.4,outlier,0.4,0.440711,0.504348
scaling_0,scaling,0,1.000000,0.631225
scaling_0.05,scaling,0.05,0.522134,0.522134
scaling_0.1,scaling,0.1,0.513439,0.522134
scaling_0.2,scaling,0.2,0.513439,0.513439
scaling_0.4,scaling,0.4,0.513439,0.513439
trend_0,trend,0,1.000000,0.631225
trend_0.05,trend,0.05,0.522134,0.522134
trend_0.1,trend,0.1,0.513439,0.522134
trend_0.2,trend,0.2,0.513439,0.513439
trend_0.4,trend,0.4,0.513439,0.513439
