"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","1.000000","0.458498"
"jittering_0.05","jittering","0.05","0.522134","0.549012"
"jittering_0.1","jittering","0.1","0.513439","0.567194"
"jittering_0.2","jittering","0.2","0.513439","0.567194"
"jittering_0.4","jittering","0.4","0.513439","0.539921"
"missing_0","missing","0","1.000000","0.458498"
"missing_0.05","missing","0.05","0.460079","0.449802"
"missing_0.1","missing","0.1","0.586166","0.405929"
"missing_0.2","missing","0.2","0.604743","0.505534"
"missing_0.4","missing","0.4","0.586166","0.521739"
"outlier_0","outlier","0","1.000000","0.458498"
"outlier_0.05","outlier","0.05","0.530830","0.522925"
"outlier_0.1","outlier","0.1","0.450198","0.531225"
"outlier_0.2","outlier","0.2","0.441897","0.531621"
"outlier_0.4","outlier","0.4","0.541897","0.531225"
