Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.716172,0.793379
jittering_0.05,jittering,0.05,0.716020,0.735578
jittering_0.1,jittering,0.1,0.716020,0.735578
jittering_0.2,jittering,0.2,0.716020,0.735578
jittering_0.4,jittering,0.4,0.713432,0.749315
missing_0,missing,0,0.716172,0.793379
missing_0.05,missing,0.05,0.705251,0.771271
missing_0.1,missing,0.1,0.680518,0.749315
missing_0.2,missing,0.2,0.663699,0.741020
missing_0.4,missing,0.4,0.592161,0.721804
outlier_0,outlier,0,0.716172,0.793379
outlier_0.05,outlier,0.05,0.680479,0.779680
outlier_0.1,outlier,0.1,0.710731,0.771423
outlier_0.2,outlier,0.2,0.724391,0.752017
outlier_0.4,outlier,0.4,0.647222,0.716248
scaling_0,scaling,0,0.716172,0.793379
scaling_0.05,scaling,0.05,0.716020,0.735578
scaling_0.1,scaling,0.1,0.716020,0.735578
scaling_0.2,scaling,0.2,0.716020,0.735578
scaling_0.4,scaling,0.4,0.713432,0.749315
trend_0,trend,0,0.716172,0.793379
trend_0.05,trend,0.05,0.716020,0.735578
trend_0.1,trend,0.1,0.716020,0.735578
trend_0.2,trend,0.2,0.716020,0.735578
trend_0.4,trend,0.4,0.713432,0.749315
