Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.955860,0.975114
jittering_0.05,jittering,0.05,0.958600,0.975114
jittering_0.1,jittering,0.1,0.958600,0.975114
jittering_0.2,jittering,0.2,0.955860,0.975114
jittering_0.4,jittering,0.4,0.955860,0.975114
missing_0,missing,0,0.955860,0.975114
missing_0.05,missing,0.05,0.953120,0.969597
missing_0.1,missing,0.1,0.925571,0.966819
missing_0.2,missing,0.2,0.922717,0.939307
missing_0.4,missing,0.4,0.826560,0.856583
outlier_0,outlier,0,0.955860,0.975114
outlier_0.05,outlier,0.05,0.895205,0.914498
outlier_0.1,outlier,0.1,0.853843,0.903463
outlier_0.2,outlier,0.2,0.646994,0.862253
outlier_0.4,outlier,0.4,0.396842,0.773858
scaling_0,scaling,0,0.955860,0.975114
scaling_0.05,scaling,0.05,0.958600,0.975114
scaling_0.1,scaling,0.1,0.958600,0.975114
scaling_0.2,scaling,0.2,0.955860,0.975114
scaling_0.4,scaling,0.4,0.955860,0.975114
trend_0,trend,0,0.955860,0.975114
trend_0.05,trend,0.05,0.958600,0.975114
trend_0.1,trend,0.1,0.958600,0.975114
trend_0.2,trend,0.2,0.955860,0.975114
trend_0.4,trend,0.4,0.955860,0.975114
