"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.966895","0.983447"
"jittering_0.05","jittering","0.05","0.966895","0.983447"
"jittering_0.1","jittering","0.1","0.966895","0.983447"
"jittering_0.2","jittering","0.2","0.966895","0.983447"
"jittering_0.4","jittering","0.4","0.966895","0.983447"
"missing_0","missing","0","0.966895","0.983447"
"missing_0.05","missing","0.05","0.972336","0.983486"
"missing_0.1","missing","0.1","0.953044","0.969749"
"missing_0.2","missing","0.2","0.925457","0.955898"
"missing_0.4","missing","0.4","0.845662","0.931012"
"outlier_0","outlier","0","0.966895","0.983447"
"outlier_0.05","outlier","0.05","0.884132","0.972412"
"outlier_0.1","outlier","0.1","0.823820","0.964193"
"outlier_0.2","outlier","0.2","0.710693","0.911720"
"outlier_0.4","outlier","0.4","0.688775","0.900761"
