Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.966857,0.975228
jittering_0.05,jittering,0.05,0.966857,0.975228
jittering_0.1,jittering,0.1,0.966857,0.975228
jittering_0.2,jittering,0.2,0.966857,0.975228
jittering_0.4,jittering,0.4,0.966857,0.975228
missing_0,missing,0,0.966857,0.975228
missing_0.05,missing,0.05,0.914384,0.961492
missing_0.1,missing,0.1,0.889650,0.953120
missing_0.2,missing,0.2,0.834703,0.958676
missing_0.4,missing,0.4,0.804376,0.922793
outlier_0,outlier,0,0.966857,0.975228
outlier_0.05,outlier,0.05,0.862215,0.944825
outlier_0.1,outlier,0.1,0.768417,0.867884
outlier_0.2,outlier,0.2,0.644749,0.815221
outlier_0.4,outlier,0.4,0.652968,0.845548
scaling_0,scaling,0,0.966857,0.975228
scaling_0.05,scaling,0.05,0.966857,0.975228
scaling_0.1,scaling,0.1,0.966857,0.975228
scaling_0.2,scaling,0.2,0.966857,0.975228
scaling_0.4,scaling,0.4,0.966857,0.975228
trend_0,trend,0,0.966857,0.975228
trend_0.05,trend,0.05,0.966857,0.975228
trend_0.1,trend,0.1,0.966857,0.975228
trend_0.2,trend,0.2,0.966857,0.975228
trend_0.4,trend,0.4,0.966857,0.975228
