"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.961377","0.972451"
"jittering_0.05","jittering","0.05","0.961377","0.972451"
"jittering_0.1","jittering","0.1","0.961377","0.972451"
"jittering_0.2","jittering","0.2","0.961377","0.972451"
"jittering_0.4","jittering","0.4","0.961377","0.972451"
"missing_0","missing","0","0.961377","0.972451"
"missing_0.05","missing","0.05","0.919901","0.972489"
"missing_0.1","missing","0.1","0.931088","0.964117"
"missing_0.2","missing","0.2","0.881583","0.966971"
"missing_0.4","missing","0.4","0.809627","0.936568"
"outlier_0","outlier","0","0.961377","0.972451"
"outlier_0.05","outlier","0.05","0.842808","0.942047"
"outlier_0.1","outlier","0.1","0.776712","0.865145"
"outlier_0.2","outlier","0.2","0.633790","0.820738"
"outlier_0.4","outlier","0.4","0.647489","0.853805"
