"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.966895","0.947603"
"jittering_0.05","jittering","0.05","0.966895","0.947603"
"jittering_0.1","jittering","0.1","0.966895","0.947603"
"jittering_0.2","jittering","0.2","0.966895","0.947603"
"jittering_0.4","jittering","0.4","0.966895","0.947603"
"missing_0","missing","0","0.966895","0.947603"
"missing_0.05","missing","0.05","0.922717","0.928311"
"missing_0.1","missing","0.1","0.911948","0.886910"
"missing_0.2","missing","0.2","0.848402","0.886834"
"missing_0.4","missing","0.4","0.787823","0.815297"
"outlier_0","outlier","0","0.966895","0.947603"
"outlier_0.05","outlier","0.05","0.834703","0.735731"
"outlier_0.1","outlier","0.1","0.718760","0.699772"
"outlier_0.2","outlier","0.2","0.573174","0.702549"
"outlier_0.4","outlier","0.4","0.628158","0.658257"
