Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.966895,0.950342
jittering_0.05,jittering,0.05,0.966895,0.950342
jittering_0.1,jittering,0.1,0.966895,0.950342
jittering_0.2,jittering,0.2,0.966895,0.950342
jittering_0.4,jittering,0.4,0.966895,0.950342
missing_0,missing,0,0.966895,0.950342
missing_0.05,missing,0.05,0.928387,0.897869
missing_0.1,missing,0.1,0.892314,0.914536
missing_0.2,missing,0.2,0.818113,0.870472
missing_0.4,missing,0.4,0.774125,0.809817
outlier_0,outlier,0,0.966895,0.950342
outlier_0.05,outlier,0.05,0.826446,0.732991
outlier_0.1,outlier,0.1,0.707725,0.694178
outlier_0.2,outlier,0.2,0.559399,0.688775
outlier_0.4,outlier,0.4,0.630822,0.652664
scaling_0,scaling,0,0.966895,0.950342
scaling_0.05,scaling,0.05,0.966895,0.950342
scaling_0.1,scaling,0.1,0.966895,0.950342
scaling_0.2,scaling,0.2,0.966895,0.950342
scaling_0.4,scaling,0.4,0.966895,0.950342
trend_0,trend,0,0.966895,0.950342
trend_0.05,trend,0.05,0.966895,0.950342
trend_0.1,trend,0.1,0.966895,0.950342
trend_0.2,trend,0.2,0.966895,0.950342
trend_0.4,trend,0.4,0.966895,0.950342
