Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.906164,0.955898
jittering_0.05,jittering,0.05,0.906164,0.955898
jittering_0.1,jittering,0.1,0.906164,0.955898
jittering_0.2,jittering,0.2,0.908904,0.955898
jittering_0.4,jittering,0.4,0.908904,0.955898
missing_0,missing,0,0.906164,0.955898
missing_0.05,missing,0.05,0.873135,0.790563
missing_0.1,missing,0.1,0.829110,0.702626
missing_0.2,missing,0.2,0.776750,0.738166
missing_0.4,missing,0.4,0.702397,0.751636
outlier_0,outlier,0,0.906164,0.955898
outlier_0.05,outlier,0.05,0.724467,0.719064
outlier_0.1,outlier,0.1,0.617161,0.669178
outlier_0.2,outlier,0.2,0.570358,0.652626
outlier_0.4,outlier,0.4,0.600837,0.664079
scaling_0,scaling,0,0.906164,0.955898
scaling_0.05,scaling,0.05,0.906164,0.955898
scaling_0.1,scaling,0.1,0.906164,0.955898
scaling_0.2,scaling,0.2,0.908904,0.955898
scaling_0.4,scaling,0.4,0.908904,0.955898
trend_0,trend,0,0.906164,0.955898
trend_0.05,trend,0.05,0.906164,0.955898
trend_0.1,trend,0.1,0.906164,0.955898
trend_0.2,trend,0.2,0.908904,0.955898
trend_0.4,trend,0.4,0.908904,0.955898
